Market year*,Jan,,Feb,Mar,Q1,Apr,May,,Jun,Q2,Jul,Aug,Sep,Q3,Oct,Nov,Dec,Q4,Total
2022,3234.62,,3803.49,2614.97,9653.07,2622.40,3193.20,,2576.86,8392.46,2355.27,5340.39,NA,7695.66,NA,NA,NA,,25741.20
2021,3281.94,,3310.36,4822.10,11414.40,4329.64,3174.89,,3738.64,11243.17,3229.05,4170.05,42201.05,49600.15,24761.67,4446.12,4942.59,34150.38,106408.10
2020,3280.26,,2578.04,5349.41,11207.71,2932.45,4181.32,,2376.22,9489.99,3586.87,4180.96,41593.51,49361.35,43365.70,4278.05,3818.95,51462.70,121521.75
2019,3694.42,,3073.27,2732.89,9500.59,3769.02,3311.58,,1916.75,8997.35,2264.67,5061.00,26388.16,33713.83,32016.31,4348.53,3481.27,39846.11,92057.88
2018,3815.42,,2795.24,3692.92,10303.58,2737.41,2640.11,,3033.51,8411.03,2053.95,4373.68,17390.42,23818.05,25394.78,4764.79,4020.73,34180.30,76712.97
